index,Drug_Name,Reason,Description
555,Dyrade M 200/250mg Tablet 10'SDyrade M Suspension 75mlDyrade M 400/500mg Tablet 10'SDyrade M Syrup 60mlDyrade M Suspension 100mlDyrade M 400/500mg Tablet 15'S,Amoebiasis,Prevent infections in patients having colorectal surgery
556,Entosec Tablet 2'SEntosec 1000mg Tablet 2'S,Amoebiasis,Prevent infections in patients having colorectal surgery
557,Flagentyl 1000mg Tablet 2'S,Amoebiasis,Prevent infections in patients having colorectal surgery
558,Flagyl Suspension 100mlFlagyl Suspension 30mlFlagyl Infusion 100ml,Amoebiasis,Prevent infections in patients having colorectal surgery
559,Furazole M Tablet 10'S,Amoebiasis,Prevent infections in patients having colorectal surgery
560,FUROXONE Syrup 60mlFuroxone 100mg Tablet 10'SFuroxone 25mg Suspension 57mlFuroxone 25mg Suspension 60ml,Amoebiasis,"treat infections of the blood, brain, lung, bones, genital tract, pelvic area, stomach and intestines"
561,Gramogyl Plus Tablet 10'S,Amoebiasis,"treat infections of the blood, brain, lung, bones, genital tract, pelvic area, stomach and intestines"
562,Merimet 400mg Tablet 10'S,Amoebiasis,treat gum ulcers and other dental infections
563,Metro 50mg Tablet 10'SMetro Infusion 100ml,Amoebiasis,Â indicated for the treatment of diarrhea
564,Metrocip 500mg Infusion 100ml,Amoebiasis,Â indicated for the treatment of diarrhea
565,Metrogyl Compound Plus Tablet 10'SMetrogyl Compound Tablet 15'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
566,Metrogyl F Suspension 30ml,Amoebiasis,Â indicated for the treatment of diarrhea
567,Metron 125mg Suspension 60mlMetron 500mg Infusion 100mlMetron DF Tablet 10'SMetron 100mg Suspension 30mlMetron Syrup 30mlMetron 200mg Syrup 60ml,Amoebiasis,Â indicated for the treatment of diarrhea
568,Metron DF Tablet 15'S,Amoebiasis,Â indicated for the treatment of diarrhea
569,Metronidazole(Cip) 100mg Suspension 100mlMetronidazole(Cip) 250mg Tablet 10'SMetronidazole(Cip) 125mg Suspension 100mlMetronidazole(Cip) 125mg Suspension 60ml,Amoebiasis,Â indicated for the treatment of diarrhea
570,Nita O Tablet 6'S,Amoebiasis,Â indicated for the treatment of diarrhea
571,Nitacure Syrup 50mlNitacure 500mg Tablet 6'SNitacure Syrup 30mlNitacure 200mg Tablet 6'S,Amoebiasis,Â indicated for the treatment of diarrhea
572,Nitarid 500mg Tablet 10'SNitarid 500mg Tablet 6'S,Amoebiasis,Â indicated for the treatment of diarrhea
573,Nitazet Suspension 30mlNitazet 500mg Tablet 6'S,Amoebiasis,Â indicated for the treatment of diarrhea
574,Nitazet DT 200mg Tablet 6'S,Amoebiasis,Â indicated for the treatment of diarrhea
575,Nitzix 500Mg Tablet 10'sNitzix 100Mg Suspension 30ml,Amoebiasis,treatment for the treatment of diarrhea and constipation
576,Nizonide DT 200mg Tablet 6'SNizonide Suspension 30mlNizonide 500mg Tablet 6'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
577,Ornistop Suspension 50ml,Amoebiasis,treatment for the treatment of diarrhea and constipation
578,Satrogyl 300mg Tablet 10'SSatrogyl O Tablet 10'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
579,Satrogyl O Syrup 30ml,Amoebiasis,treatment for the treatment of diarrhea and constipation
580,Satromax O 300/200mg Tablet 10'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
581,Secnil Forte Tablet 2'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
582,Seczol DS Tablet 2'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
583,Wotinex Tablet 10'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
584,Zonaxid 500mg Tablet 6'SZonaxid 100mg Suspension 30mlZonaxid 200mg Tablet 6'SZonaxid 500mg Tablet 10'S,Amoebiasis,treatment for the treatment of diarrhea and constipation
585,Abdifer Capsule 10'SAbdifer Syrup 200ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
586,ACCEDE P 10mcg Tablet 15's,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
587,Actorise 100mcg Injection 0.5mlActorise 40mcg Injection 0.40mlActorise 200mcg Injection 0.40mlActorise 60mcg Injection 0.30mlActorise 25Mcg Injection 0.42ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
588,Adcob Syrup 150mlAdcob Tablet 20'SAdcob 100mg Injection 5ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
589,Adcob CF Capsule 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
590,Adcob CZ 33mg Suspension 200ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
591,Adcob FM Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
592,Alamin Fez Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
593,Alfol Drops 15mlAlfol Syrup 150mlAlfol Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
594,Alfol Z 50/0.5mg Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
595,Alkem Maxxifol Rediuse 200ml,Anaemia,treatment for the treatment of diarrhea and constipation
596,Alofer Syrup 200ml,Anaemia,treatment for the treatment of diarrhea and constipation
597,Aloha Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
598,Aloha XT Tablet 30'SAloha XT Tablet 10'SAloha XT Drops 15mlAloha XT Suspension 150mlAloha XT 100/1.1mg Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
599,Aloha XT Plus Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
600,Alphamix Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
601,ALTOFER Syrup 200ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
602,ALTOFER C Syrup 200mlALTOFER C Capsule 15's,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
603,Aminoglobin Capsule 10's,Anaemia,prevent iron and folic acid deficiency
604,Aminorich Capsule 15'SAminorich Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
605,Anofer 100mg Injection 1'SAnofer SP Tablet 10'SAnofer Liquid 150mlAnofer S 100mg Injection 5mlAnofer Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
606,Anofer S 50mg Injection 2.5ml,Anaemia,treatment for the treatment of diarrhea and constipation
607,Astyfer Z Syrup 200mlAstyfer Z Capsule 30'SAstyfer XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
608,Autrin Capsule 30'S,Anaemia,treatment for the treatment of diarrhea and constipation
609,B9 5mg Tablet 30'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
610,B9 Plus Capsule 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
611,Befer Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
612,Bigvin FC Injection 1'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
613,Biofer 350mg Tablet 10'SBiofer Syrup 200ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
614,Biofer S 100mg Injection 5ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
615,Biofer XT Tablet 10'SBiofer XT Syrup 150mlBiofer XT Suspension 200ml,Anaemia,prevent iron and folic acid deficiency
616,Bizfer XT Tablet 10'SBizfer Elixir 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
617,BRAVOFER Suspension 200ml,Anaemia,treatment for the treatment of diarrhea and constipation
618,Cadferz Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
619,Cafe Kit Tablet 30'SCafe Kit Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
620,CAL Aid Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
621,Carboflot Tablet 15'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
622,Carfer Capsule 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
623,Carnyl FE XT Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
624,Cheri Capsule 10'SCheri Syrup 200ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
625,Cheri XT Tablet 10'SCheri Xt Tablet 15's,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
626,Citraphos Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
627,Coehb Capsule 10'SCoehb Syrup 150ml,Anaemia,prevent iron and folic acid deficiency
628,Coehb D3 Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
629,Coehb Plus Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
630,Cofol XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
631,Conviron Forte Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
632,Conviron TR Capsule 15'SConviron TR Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
633,Corbate XT Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
634,Corbet XT Tablet 10'SCorbet XT Suspension 200ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
635,CORUS FA Tablet 10's,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
636,Cpink 100mg Tablet 15'SCpink M Tablet 15'SCpink 50mg Tablet 15'SCpink Drops 15mlCpink 50mg Tablet 10'SCpink Suspension 150ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
637,Cystina Capsule 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
638,Daily Iron Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
639,DAILY IRON SR Tablet 15's,Anaemia,prevent iron and folic acid deficiency
640,Deca Intabolin 100mg Injection 1mlDeca Intabolin 50mg Injection 1mlDeca Intabolin 25mg Injection 1ml,Anaemia,treatment for the treatment of diarrhea and constipation
641,Dexorange Capsule 30'SDexorange Syrup 200ml,Anaemia,treatment for the treatment of diarrhea and constipation
642,Docofer Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
643,Eido FE Capsule 10'SEido FE Forte Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
644,Eldefol Tablet 10'SEldefol Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
645,Eldefol Forte Syrup 300ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
646,Eldefol XT Syrup 150ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
647,Eleron Syrup 150mlEleron Drops 15ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
648,Elferri S 100mg Injection 5ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
649,Elferri XT + Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
650,Emfolic Tablet 10'SEMFOLIC Drops 15ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
651,Encicarb 500mg Injection 10mlEncicarb 100mg Injection 2ml,Anaemia,prevent iron and folic acid deficiency
652,Encifer 200mg Injection 10mlEncifer 100mg Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
653,Encifer O Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
654,Eprex 4000IU Injection 1mlEprex 8000IU Injection(Pfs) 0.8mlEprex 2000IU Injection 1mlEprex 1000IU Injection(Pfs) 0.5ml,Anaemia,treatment for the treatment of diarrhea and constipation
655,Etafol 5mg Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
656,Evaglo Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
657,Extrafer Suspension 150mlExtrafer Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
658,FAA 20 Syrup 150ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
659,FAA 20mg Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
660,Fanty Capsule 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
661,Faro Xt Suspension 150mlFaro XT Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
662,Fdson 5mg Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
663,Fdson 12 Tablet 30'SFdson 12 Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
664,Fdson 12 SL Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
665,Fdson MP Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
666,Fdson MP Forte Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
667,Fdson Plus Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
668,Fdson Spor Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
669,FE 10 Injection 5ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
670,FE 14 Tablet 15'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
671,FE 3 Capsule 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
672,FE 3 XT Tablet 10'SFE 3 XT Drops 15ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
673,Fe Next Syrup 150mlFe Next Drops 30mlFe Next Tablet 10's,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
674,FE Plus Tablet 15'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
675,FE Z XT Drops 15mlFE Z XT Suspension 150mlFE Z XT Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
676,Febis Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
677,Fecontin Z Tablet 10'SFecontin F Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
678,Fedder Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
679,Fefazin Suspension 200mlFefazin 100mg Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
680,Fefazin XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
681,Fefol Spansule Capsule 15'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
682,Fefol Z Capsule 15'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
683,Fegold 100mg Injection 5ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
684,Femina XT Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
685,Femozer 100mg Injection 5ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
686,Feneed Syrup 200ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
687,Feneed XT Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
688,Feonat Z Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
689,Fercee Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
690,Fercee Gold Syrup 300ml,Anaemia,treatment for the treatment of diarrhea and constipation
691,Fercee TR Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
692,Fercee XT Syrup 150mlFercee XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
693,Fercel XT Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
694,Ferdefol Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
695,Fered C Capsule 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
696,Fered XT Tablet 10'SFered XT Suspension 150ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
697,Feredet Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
698,Ferfoz Plus Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
699,Fericap XT Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
700,Fericip 50mg Syrup 150mlFericip Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
701,Fericip XT Tablet 10'SFericip XT Suspension 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
702,Fericose Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
703,Ferikind Suspension 170mlFerikind Drops 15mlFerikind Tablet 10'SFerikind S 100mg Injection 5mlFerikind Z Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
704,Ferikind M Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
705,Ferikind Plus RF Injection 1.5ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
706,Ferikind S 50mg Injection 2.5ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
707,Feriking Syrup 200ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
708,Ferimax Xt Tablet 10'sFerimax Xt Syrup 200ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
709,Ferimon Syrup 200ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
710,Ferimon XT Suspension 150mlFerimon XT Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
711,Ferinca S Injection 5ml,Anaemia,prevent iron and folic acid deficiency
712,Ferinject 500mg Injection 10mlFerinject 100mg Injection 2ml,Anaemia,treatment for the treatment of diarrhea and constipation
713,Ferinova XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
714,Ferinut Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
715,Feris 50mg Tablet 10'SFeris Drops 15mlFeris Syrup 150mlFeris 100mg Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
716,Ferise 2.5mg Injection 2.5ml,Anaemia,treatment for the treatment of diarrhea and constipation
717,Ferisis Capsule 15'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
718,Ferisome 30mg Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
719,Feritone Capsule 10'SFeritone Syrup 150mlFeritone Drops 15ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
720,Ferium Chew 50mg Tablet 10'SFerium D3 Tablet 10'SFerium XT Drops 15mlFerium XT Suspension 150mlFerium Drops 15mlFerium 100mg Chew Tablet 10'SFerium Injection 10mlFerium Syrup 150mlFerium XT Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
721,Ferivate Drops 15ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
722,Ferixym 500mg Injection 1'SFerixym 100mg Injection 1'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
723,Ferizac Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
724,Fermax Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
725,Fermus XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
726,Ferocad Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
727,Ferocad XT Tablet 10'SFerocad XT Suspension 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
728,Feroglobin B12 Syrup 200mlFeroglobin B12 Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
729,Feroject 100mg Injection 5mlFeroject 200mg Injection 10ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
730,Feroluv S 20mg Injection 5ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
731,Feroluv XT Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
732,FEROMEGA XT TABLET 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
733,Feromega Plus Capsule 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
734,Feronia XT Tablet 10'SFeronia 50mg Injection 2.5mlFeronia XT Suspension 150mlFeronia D3 Tablet 10'SFeronia 100mg Injection 5ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
735,Feronia HP Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
736,Feronia XT Drops Oral Drop 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
737,Ferose 20mg Injection 2.5mlFerose Tablet 15'SFerose Tablet 10'SFerose Syrup 150mlFerose Injection 5mlFerose XT Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
738,Ferosig Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
739,Ferosuc Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
740,Ferox XT Tablet 10'SFerox XT Tablet 6'SFerox XT Suspension 200mlFerox XT 10mg Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
741,Ferozorb Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
742,Ferradol Malts Suspension 200gm,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
743,Ferri 100mg Injection 5mlFerri 20mg Injection 2.5mlFerri 50mg Injection 2.5ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
744,Ferri D 100mg Injection 2ml,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
745,Ferrin 20mg Injection 5ml,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
746,Ferro Ate Tablet 10'SFerro Ate Syrup 150ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
747,Ferrochelate XT Suspension 150mlFerrochelate Drops 15ml,Anaemia,prevent iron and folic acid deficiency
748,Ferrochelate XT New Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
749,Ferrocyte XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
750,Ferrohext Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
751,Ferronine 60mg Tablet 15'SFerronine 60mg Tablet 30'SFerronine 30mg Tablet 30'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
752,Ferronomic Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
753,Ferywel Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
754,Feshine Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
755,Fesovit Elixir 100mlFesovit Spansule Capsule 30'SFesovit Syrup 60ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
756,Feton XT Syrup 200ml,Anaemia,prevent iron and folic acid deficiency
757,Fetuz Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
758,Fevimax Z Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
759,Fevirich Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
760,Fexid XT Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
761,Fezi Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
762,Flarish Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
763,FOL 5mg Tablet 30'SFOL 5mg Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
764,FOL B Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
765,FOL G1 Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
766,Foldivit 5mg Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
767,Folfit Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
768,Folibest MD Tablet 30'S,Anaemia,prevent iron and folic acid deficiency
769,Folican 5mg Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
770,Folicil 5mg Tablet 30'S,Anaemia,treatment for the treatment of diarrhea and constipation
771,Foliden Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
772,Foligem Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
773,FOLIKAA Tablet 10's,Anaemia,treatment for the treatment of diarrhea and constipation
774,Folilat Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
775,Folimed Tablet 10'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
776,Folimust Tablet 10'S,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
777,Folinac Xt Tablet 10's,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
778,Folinal 5mg Tablet 30'S,Anaemia,treat symptomatic anaemia in adult cancer patientsÂ 
779,Folinal Plus Syrup 300mlFolinal Plus Syrup 150ml,Anaemia,Â treat symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
780,Folinext Tablet 30'S,Anaemia,prevent iron and folic acid deficiency
781,Folinine Plus Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
782,Folistat Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
783,Folite Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
784,Foliwock 5mg Tablet 30'S,Anaemia,treatment for the treatment of diarrhea and constipation
785,Folly 5mg Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
786,Folmet Tablet 10'S,Anaemia,treat symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
